,Feature,Importance
0,Bng_h,0.37507105
1,Kau_h,0.23796774
2,Stg_h,0.18085074
3,Ruw_h,0.046762925
4,Ruw_h_lag1,0.0317325
5,Fra_h,0.023809128
6,Klk_h,0.017294252
7,Hdb_h,0.012404751
8,Sie_h,0.0037535066
9,Ahr_h,0.0032677818
10,sbs_temp_7_lag1,0.0030558312
11,Klk_h_lag1,0.0025177144
12,Klk_diff,0.0019025394
13,Bng_h_lag1,0.001871524
14,sbs_prep_4_lag1,0.0017702384
15,sbs_temp_9_lag1,0.001615579
16,Sie_diff,0.0013300851
17,sbs_temp_10_lag1,0.0011277966
18,Fra_h_lag1,0.0011121758
19,sbs_temp_7_lag5,0.0010573436
20,Ruw_diff_lag1,0.0009846482
21,Kau_h_lag3,0.0009842666
22,sbs_snow_oberrhein_lag3,0.0009612654
23,sbs_prep_3_lag1,0.00093552057
24,Stg_diff,0.0008846267
